,Time Control,Time Control Name,Time Control Mapped,Rating Difference,Opening ECO,Oppening Name,Opening Name Mapped,White's Number of Mistakes,Black's Number of Mistakes,Winner
10638,10 + 15,Rapid,2,-185,C50,Italian Game,4,4,2,Black
10641,3 + 2,Blitz,1,-105,D00,Queen Pawn Game,3,10,7,White
10646,5 + 5,Blitz,1,22,C42,Petroff Defense,2,4,6,White
10649,5 + 5,Blitz,1,32,D00,Queen Pawn Game,3,3,6,White
10660,15 + 0,Rapid,2,197,C42,Petroff Defense,2,4,3,Black
10666,10 + 15,Rapid,2,-120,C50,Italian Game,4,5,3,Black
10685,10 + 15,Rapid,2,-18,C42,Petroff Defense,2,5,5,White
10697,60 + 10,Classic,3,-345,C50,Italian Game,4,3,1,Black
10701,10 + 0,Rapid,2,-19,C50,Italian Game,4,1,5,White
10711,15 + 0,Rapid,2,-231,C50,Italian Game,4,1,1,Black
10713,60 + 0,Classic,3,-215,C42,Petroff Defense,2,0,0,Draw
10716,10 + 15,Rapid,2,-313,C50,Italian Game,4,3,5,White
10724,60 + 10,Classic,3,-49,C50,Italian Game,4,1,1,White
10725,10 + 0,Rapid,2,525,D00,Queen Pawn Game,3,1,2,Black
10726,10 + 0,Rapid,2,-19,B20,Sicilian Defense,1,4,3,White
10728,15 + 0,Rapid,2,248,C50,Italian Game,4,0,0,White
10738,3 + 2,Blitz,1,-37,C50,Italian Game,4,7,5,Black
10742,3 + 2,Blitz,1,175,C50,Italian Game,4,7,2,Draw
10757,10 + 15,Rapid,2,-14,C42,Petroff Defense,2,2,5,White
10761,3 + 2,Blitz,1,-62,D00,Queen Pawn Game,3,4,7,White
10770,5 + 5,Blitz,1,-22,D00,Queen Pawn Game,3,9,9,White
10779,10 + 15,Rapid,2,-63,B20,Sicilian Defense,1,5,1,Black
10781,15 + 0,Rapid,2,132,B20,Sicilian Defense,1,3,2,White
10785,10 + 15,Rapid,2,-99,B20,Sicilian Defense,1,0,1,White
10787,30 + 25,Classic,3,-186,D00,Queen Pawn Game,3,0,2,White
10792,10 + 0,Rapid,2,-312,D00,Queen Pawn Game,3,6,4,Black
10808,3 + 0,Blitz,1,30,D00,Queen Pawn Game,3,11,9,Black
10816,10 + 15,Rapid,2,160,B20,Sicilian Defense,1,1,4,White
10821,10 + 0,Rapid,2,40,D00,Queen Pawn Game,3,4,5,Black
10836,60 + 10,Classic,3,-171,B20,Sicilian Defense,1,2,0,Black
10838,30 + 25,Classic,3,-144,B20,Sicilian Defense,1,2,0,Black
10845,3 + 0,Blitz,1,262,C50,Italian Game,4,6,7,White
10849,15 + 0,Rapid,2,169,C50,Italian Game,4,2,1,Black
10850,15 + 0,Rapid,2,411,C42,Petroff Defense,2,2,3,White
10858,10 + 15,Rapid,2,-192,D00,Queen Pawn Game,3,2,5,White
10866,5 + 0,Blitz,1,-19,C42,Petroff Defense,2,6,6,Black
10874,15 + 0,Rapid,2,15,D00,Queen Pawn Game,3,0,1,White
10876,15 + 0,Rapid,2,-21,C50,Italian Game,4,1,4,White
10877,3 + 0,Blitz,1,0,C50,Italian Game,4,5,4,Black
10894,10 + 15,Rapid,2,-750,B20,Sicilian Defense,1,5,2,Black
10902,3 + 2,Blitz,1,134,C50,Italian Game,4,4,7,White
10940,15 + 0,Rapid,2,-77,D00,Queen Pawn Game,3,1,4,White
10950,10 + 0,Rapid,2,-77,D00,Queen Pawn Game,3,3,1,Black
10959,10 + 15,Rapid,2,23,C50,Italian Game,4,5,4,White
10967,10 + 0,Rapid,2,391,C50,Italian Game,4,3,0,Black
10973,15 + 0,Rapid,2,-4,C50,Italian Game,4,0,4,White
10974,30 + 0,Classic,3,-71,D00,Queen Pawn Game,3,0,0,Black
11010,10 + 0,Rapid,2,-393,B20,Sicilian Defense,1,3,0,Black
11016,10 + 15,Rapid,2,-16,C42,Petroff Defense,2,0,1,White
11040,10 + 0,Rapid,2,22,C50,Italian Game,4,3,3,Black
11041,5 + 0,Blitz,1,8,C50,Italian Game,4,9,9,White
11045,10 + 15,Rapid,2,38,D00,Queen Pawn Game,3,2,3,Draw
11054,60 + 10,Classic,3,13,C50,Italian Game,4,1,2,White
11056,10 + 15,Rapid,2,27,C50,Italian Game,4,2,1,Black
11072,10 + 15,Rapid,2,19,D00,Queen Pawn Game,3,1,0,Black
11075,5 + 0,Blitz,1,-60,B20,Sicilian Defense,1,5,10,White
11079,10 + 0,Rapid,2,44,B20,Sicilian Defense,1,3,2,White
11087,30 + 25,Classic,3,153,D00,Queen Pawn Game,3,0,1,White
11103,5 + 0,Blitz,1,-27,C50,Italian Game,4,5,3,Black
11111,30 + 0,Classic,3,9,D00,Queen Pawn Game,3,1,2,White
11125,10 + 0,Rapid,2,-91,D00,Queen Pawn Game,3,1,4,White
11128,10 + 15,Rapid,2,-15,C50,Italian Game,4,2,0,Black
11147,30 + 25,Classic,3,281,D00,Queen Pawn Game,3,0,2,White
11157,15 + 0,Rapid,2,-48,D00,Queen Pawn Game,3,2,2,Black
11158,10 + 0,Rapid,2,9,C50,Italian Game,4,4,3,White
11160,30 + 0,Classic,3,-59,C50,Italian Game,4,1,2,Black
11169,15 + 0,Rapid,2,292,C42,Petroff Defense,2,3,2,Black
11175,30 + 25,Classic,3,-80,B20,Sicilian Defense,1,1,0,Black
11177,15 + 0,Rapid,2,58,B20,Sicilian Defense,1,4,1,Black
11179,15 + 0,Rapid,2,-8,D00,Queen Pawn Game,3,5,1,Black
11187,5 + 0,Blitz,1,-28,C42,Petroff Defense,2,9,9,White
11188,5 + 5,Blitz,1,24,C42,Petroff Defense,2,6,7,White
11236,10 + 0,Rapid,2,16,B20,Sicilian Defense,1,2,0,Black
11247,3 + 2,Blitz,1,63,C42,Petroff Defense,2,5,4,Black
11269,10 + 0,Rapid,2,30,D00,Queen Pawn Game,3,5,4,Black
11270,15 + 0,Rapid,2,29,D00,Queen Pawn Game,3,3,5,White
11292,5 + 5,Blitz,1,274,C50,Italian Game,4,19,19,Black
11295,10 + 0,Rapid,2,-74,D00,Queen Pawn Game,3,3,6,White
11301,30 + 0,Classic,3,-27,D00,Queen Pawn Game,3,2,0,Black
11303,10 + 0,Rapid,2,-392,B20,Sicilian Defense,1,1,2,White
11316,5 + 5,Blitz,1,-189,D00,Queen Pawn Game,3,10,14,White
11317,3 + 2,Blitz,1,358,D00,Queen Pawn Game,3,10,10,Black
11318,10 + 0,Rapid,2,-401,D00,Queen Pawn Game,3,3,2,Black
11319,3 + 0,Blitz,1,23,C50,Italian Game,4,8,5,Black
11333,5 + 0,Blitz,1,228,B20,Sicilian Defense,1,5,7,Black
11341,3 + 0,Blitz,1,-26,D00,Queen Pawn Game,3,11,11,White
11343,5 + 5,Blitz,1,-42,B20,Sicilian Defense,1,4,4,White
11354,15 + 0,Rapid,2,-245,C42,Petroff Defense,2,3,1,Black
11356,60 + 10,Classic,3,-6,C50,Italian Game,4,3,0,Black
11380,60 + 0,Classic,3,-38,B20,Sicilian Defense,1,0,2,White
11405,3 + 0,Blitz,1,170,C50,Italian Game,4,3,5,White
11413,3 + 2,Blitz,1,-62,B20,Sicilian Defense,1,13,13,Black
11432,60 + 10,Classic,3,-44,B20,Sicilian Defense,1,2,0,Black
11453,10 + 15,Rapid,2,-3,D00,Queen Pawn Game,3,1,3,White
11454,60 + 0,Classic,3,22,B20,Sicilian Defense,1,3,0,Black
11474,5 + 5,Blitz,1,52,D00,Queen Pawn Game,3,9,9,Draw
11476,60 + 10,Classic,3,18,D00,Queen Pawn Game,3,1,0,Black
11503,10 + 0,Rapid,2,266,D00,Queen Pawn Game,3,1,0,Black
11522,10 + 15,Rapid,2,-42,C42,Petroff Defense,2,3,1,White
11524,10 + 0,Rapid,2,63,C50,Italian Game,4,1,0,Draw
11533,10 + 15,Rapid,2,-136,D00,Queen Pawn Game,3,3,1,Black
11545,60 + 10,Classic,3,-602,B20,Sicilian Defense,1,2,0,Black
11551,15 + 0,Rapid,2,-167,C50,Italian Game,4,2,4,White
11557,3 + 0,Blitz,1,267,D00,Queen Pawn Game,3,6,4,Black
11559,5 + 0,Blitz,1,-226,C50,Italian Game,4,7,3,Black
11563,10 + 15,Rapid,2,109,D00,Queen Pawn Game,3,1,4,White
11576,5 + 5,Blitz,1,43,D00,Queen Pawn Game,3,3,4,White
11577,15 + 0,Rapid,2,151,D00,Queen Pawn Game,3,2,3,White
11599,5 + 5,Blitz,1,29,D00,Queen Pawn Game,3,6,10,White
11600,5 + 5,Blitz,1,-92,C50,Italian Game,4,7,6,Black
11601,15 + 0,Rapid,2,-17,C50,Italian Game,4,4,5,White
11602,30 + 25,Classic,3,339,C50,Italian Game,4,0,5,White
11605,10 + 15,Rapid,2,-69,B20,Sicilian Defense,1,5,0,Black
11607,10 + 15,Rapid,2,-51,C50,Italian Game,4,5,4,White
11611,5 + 5,Blitz,1,119,D00,Queen Pawn Game,3,2,4,White
11644,5 + 5,Blitz,1,-47,D00,Queen Pawn Game,3,6,7,White
11679,10 + 0,Rapid,2,-174,B20,Sicilian Defense,1,5,1,Black
11685,3 + 0,Blitz,1,-15,B20,Sicilian Defense,1,5,2,Black
11698,15 + 0,Rapid,2,110,D00,Queen Pawn Game,3,2,4,White
11699,15 + 0,Rapid,2,3,C42,Petroff Defense,2,3,4,White
11704,3 + 2,Blitz,1,140,D00,Queen Pawn Game,3,2,4,White
11717,60 + 10,Classic,3,239,C42,Petroff Defense,2,2,1,Black
11721,5 + 0,Blitz,1,68,C42,Petroff Defense,2,4,7,White
11732,10 + 15,Rapid,2,83,C50,Italian Game,4,3,1,Black
11736,15 + 0,Rapid,2,-124,B20,Sicilian Defense,1,1,0,Black
11748,10 + 15,Rapid,2,109,D00,Queen Pawn Game,3,5,2,Black
11754,3 + 0,Blitz,1,105,D00,Queen Pawn Game,3,6,6,White
11757,10 + 0,Rapid,2,29,D00,Queen Pawn Game,3,1,3,White
11766,10 + 15,Rapid,2,-159,C50,Italian Game,4,4,4,Black
11777,5 + 5,Blitz,1,-5,D00,Queen Pawn Game,3,5,5,White
11778,3 + 0,Blitz,1,-30,D00,Queen Pawn Game,3,6,4,Black
11781,3 + 0,Blitz,1,76,D00,Queen Pawn Game,3,7,8,Black
11821,5 + 5,Blitz,1,62,B20,Sicilian Defense,1,6,6,White
11823,5 + 0,Blitz,1,11,B20,Sicilian Defense,1,5,9,White
11838,10 + 15,Rapid,2,17,C50,Italian Game,4,1,4,White
11847,10 + 15,Rapid,2,-163,B20,Sicilian Defense,1,4,0,Black
11853,60 + 10,Classic,3,524,C42,Petroff Defense,2,1,0,Black
11857,60 + 0,Classic,3,98,C50,Italian Game,4,2,3,White
11861,10 + 15,Rapid,2,4,B20,Sicilian Defense,1,5,2,Black
11872,30 + 0,Classic,3,44,B20,Sicilian Defense,1,2,0,Black
11890,10 + 0,Rapid,2,68,D00,Queen Pawn Game,3,2,4,White
11897,10 + 15,Rapid,2,-26,D00,Queen Pawn Game,3,5,5,Black
11908,30 + 0,Classic,3,-57,C42,Petroff Defense,2,1,3,Draw
11916,15 + 0,Rapid,2,17,D00,Queen Pawn Game,3,2,4,White
11918,15 + 0,Rapid,2,1,D00,Queen Pawn Game,3,0,3,White
11932,15 + 0,Rapid,2,572,C50,Italian Game,4,2,2,White
11947,5 + 0,Blitz,1,308,C42,Petroff Defense,2,9,9,Black
11951,10 + 15,Rapid,2,-221,D00,Queen Pawn Game,3,5,2,Black
11966,10 + 0,Rapid,2,-2,D00,Queen Pawn Game,3,2,3,White
11967,5 + 5,Blitz,1,-24,D00,Queen Pawn Game,3,6,5,Black
11979,15 + 0,Rapid,2,10,D00,Queen Pawn Game,3,2,3,White
11982,15 + 0,Rapid,2,42,D00,Queen Pawn Game,3,3,1,Black
11983,5 + 5,Blitz,1,51,D00,Queen Pawn Game,3,7,10,Black
11990,15 + 0,Rapid,2,225,C50,Italian Game,4,3,1,White
11991,10 + 0,Rapid,2,-143,C50,Italian Game,4,5,3,Black
11996,10 + 15,Rapid,2,364,D00,Queen Pawn Game,3,0,3,White
12004,10 + 15,Rapid,2,-9,C42,Petroff Defense,2,0,2,White
12010,10 + 15,Rapid,2,45,C50,Italian Game,4,3,5,White
12013,30 + 25,Classic,3,-199,D00,Queen Pawn Game,3,0,0,White
12014,10 + 0,Rapid,2,-13,D00,Queen Pawn Game,3,4,1,Black
12029,60 + 0,Classic,3,-161,C50,Italian Game,4,0,0,White
12032,10 + 15,Rapid,2,-156,D00,Queen Pawn Game,3,4,3,Black
12035,10 + 15,Rapid,2,95,B20,Sicilian Defense,1,4,6,White
12042,15 + 0,Rapid,2,73,B20,Sicilian Defense,1,1,0,Black
12047,5 + 5,Blitz,1,730,C42,Petroff Defense,2,6,8,White
12062,10 + 0,Rapid,2,-84,C50,Italian Game,4,1,4,White
12065,15 + 0,Rapid,2,5,B20,Sicilian Defense,1,3,1,Black
12070,3 + 0,Blitz,1,132,B20,Sicilian Defense,1,18,11,Black
12082,60 + 10,Classic,3,-27,D00,Queen Pawn Game,3,1,0,Black
12095,3 + 2,Blitz,1,38,B20,Sicilian Defense,1,6,5,White
12096,5 + 5,Blitz,1,54,D00,Queen Pawn Game,3,9,6,White
12097,10 + 15,Rapid,2,31,D00,Queen Pawn Game,3,2,2,White
12099,30 + 0,Classic,3,25,D00,Queen Pawn Game,3,1,3,Black
12116,10 + 0,Rapid,2,-81,D00,Queen Pawn Game,3,0,2,White
12128,3 + 0,Blitz,1,-212,B20,Sicilian Defense,1,10,15,Draw
12135,10 + 0,Rapid,2,-47,D00,Queen Pawn Game,3,3,2,Black
12145,3 + 2,Blitz,1,7,C42,Petroff Defense,2,5,5,Black
12153,5 + 0,Blitz,1,166,D00,Queen Pawn Game,3,9,6,Black
12157,10 + 0,Rapid,2,80,C50,Italian Game,4,1,4,White
12165,3 + 0,Blitz,1,34,C50,Italian Game,4,11,11,Black
12187,10 + 0,Rapid,2,33,C50,Italian Game,4,5,0,Black
12198,60 + 0,Classic,3,-243,D00,Queen Pawn Game,3,2,0,Black
12200,60 + 10,Classic,3,391,B20,Sicilian Defense,1,2,2,White
12204,3 + 2,Blitz,1,48,D00,Queen Pawn Game,3,8,7,White
12205,10 + 0,Rapid,2,293,D00,Queen Pawn Game,3,3,5,White
12206,3 + 0,Blitz,1,-66,C50,Italian Game,4,6,4,Black
12211,15 + 0,Rapid,2,0,D00,Queen Pawn Game,3,2,0,Black
12218,3 + 2,Blitz,1,266,C50,Italian Game,4,3,6,White
12223,10 + 0,Rapid,2,-47,C50,Italian Game,4,4,3,Black
12228,10 + 15,Rapid,2,-63,D00,Queen Pawn Game,3,4,3,Black
12248,10 + 0,Rapid,2,219,B20,Sicilian Defense,1,2,1,White
12249,10 + 0,Rapid,2,26,B20,Sicilian Defense,1,1,0,Black
12250,10 + 15,Rapid,2,-85,B20,Sicilian Defense,1,2,1,Black
12252,15 + 0,Rapid,2,219,B20,Sicilian Defense,1,2,5,White
12258,60 + 0,Classic,3,53,C50,Italian Game,4,3,1,Black
12267,3 + 0,Blitz,1,303,C50,Italian Game,4,5,4,Black
12275,3 + 0,Blitz,1,-15,B20,Sicilian Defense,1,4,5,Black
12277,60 + 0,Classic,3,-370,B20,Sicilian Defense,1,2,1,Black
12284,60 + 10,Classic,3,-21,C50,Italian Game,4,1,4,White
12311,3 + 0,Blitz,1,47,C50,Italian Game,4,4,8,White
12320,15 + 0,Rapid,2,44,D00,Queen Pawn Game,3,2,3,White
12323,60 + 0,Classic,3,-2,D00,Queen Pawn Game,3,0,2,White
12340,10 + 0,Rapid,2,-142,B20,Sicilian Defense,1,4,2,Black
12343,10 + 15,Rapid,2,269,D00,Queen Pawn Game,3,0,1,White
12348,30 + 0,Classic,3,11,D00,Queen Pawn Game,3,3,1,Black
12350,5 + 5,Blitz,1,44,D00,Queen Pawn Game,3,4,4,Black
12370,60 + 0,Classic,3,35,D00,Queen Pawn Game,3,4,1,Black
12379,30 + 0,Classic,3,4,C42,Petroff Defense,2,1,0,Black
12390,10 + 0,Rapid,2,-21,B20,Sicilian Defense,1,4,2,Black
12403,60 + 0,Classic,3,368,C50,Italian Game,4,0,1,White
12405,60 + 10,Classic,3,173,C50,Italian Game,4,0,1,White
12409,60 + 10,Classic,3,406,C42,Petroff Defense,2,0,0,White
12413,5 + 5,Blitz,1,519,D00,Queen Pawn Game,3,5,5,Black
12415,15 + 0,Rapid,2,-418,C50,Italian Game,4,6,2,Black
12418,30 + 0,Classic,3,131,C50,Italian Game,4,1,0,Black
12431,5 + 5,Blitz,1,-76,B20,Sicilian Defense,1,12,9,Black
12432,10 + 15,Rapid,2,15,C50,Italian Game,4,2,3,White
12449,30 + 25,Classic,3,93,B20,Sicilian Defense,1,2,0,Black
12451,60 + 10,Classic,3,454,B20,Sicilian Defense,1,3,0,Black
12455,3 + 2,Blitz,1,-78,B20,Sicilian Defense,1,7,10,White
12469,10 + 0,Rapid,2,28,C50,Italian Game,4,2,4,White
12470,10 + 15,Rapid,2,-119,D00,Queen Pawn Game,3,1,1,White
12471,10 + 0,Rapid,2,-57,D00,Queen Pawn Game,3,4,5,Black
12499,10 + 15,Rapid,2,-281,C50,Italian Game,4,3,3,Black
12500,5 + 0,Blitz,1,321,B20,Sicilian Defense,1,5,3,Black
12529,5 + 5,Blitz,1,52,B20,Sicilian Defense,1,9,10,White
12547,60 + 10,Classic,3,55,C50,Italian Game,4,1,2,Black
12550,60 + 0,Classic,3,19,C50,Italian Game,4,1,4,White
12560,5 + 0,Blitz,1,298,C42,Petroff Defense,2,5,7,White
12566,30 + 0,Classic,3,17,C42,Petroff Defense,2,1,2,White
12571,3 + 0,Blitz,1,-4,B20,Sicilian Defense,1,7,6,White
12574,10 + 0,Rapid,2,-201,C50,Italian Game,4,1,3,White
12575,3 + 0,Blitz,1,-117,C50,Italian Game,4,9,7,Black
12589,10 + 15,Rapid,2,110,D00,Queen Pawn Game,3,2,3,White
12591,10 + 0,Rapid,2,53,B20,Sicilian Defense,1,5,4,Black
12600,15 + 0,Rapid,2,33,C50,Italian Game,4,6,2,Black
12603,60 + 10,Classic,3,248,C50,Italian Game,4,0,0,White
12608,30 + 0,Classic,3,-462,C50,Italian Game,4,1,0,Black
12609,10 + 0,Rapid,2,70,D00,Queen Pawn Game,3,2,1,Black
12613,5 + 5,Blitz,1,-240,B20,Sicilian Defense,1,4,4,White
12623,15 + 0,Rapid,2,-22,B20,Sicilian Defense,1,4,3,Black
12626,3 + 0,Blitz,1,-475,C50,Italian Game,4,5,5,Black
12638,10 + 15,Rapid,2,208,B20,Sicilian Defense,1,3,1,Black
12652,10 + 0,Rapid,2,-321,C42,Petroff Defense,2,6,5,Black
12666,15 + 0,Rapid,2,-71,D00,Queen Pawn Game,3,2,2,White
12672,60 + 0,Classic,3,-19,B20,Sicilian Defense,1,2,0,Black
12673,30 + 25,Classic,3,-253,B20,Sicilian Defense,1,3,0,Black
12676,30 + 0,Classic,3,276,B20,Sicilian Defense,1,3,1,Black
12677,10 + 0,Rapid,2,110,C50,Italian Game,4,2,4,White
12723,10 + 15,Rapid,2,-1,D00,Queen Pawn Game,3,1,0,Black
12732,10 + 15,Rapid,2,-79,C42,Petroff Defense,2,1,0,White
12734,30 + 0,Classic,3,-34,C50,Italian Game,4,2,0,Black
12737,10 + 0,Rapid,2,-60,D00,Queen Pawn Game,3,5,3,Black
12739,10 + 15,Rapid,2,337,C50,Italian Game,4,0,4,White
12743,3 + 0,Blitz,1,18,D00,Queen Pawn Game,3,4,7,White
12755,5 + 0,Blitz,1,-283,B20,Sicilian Defense,1,6,5,Black
12764,10 + 0,Rapid,2,268,D00,Queen Pawn Game,3,0,2,White
12772,15 + 0,Rapid,2,-151,B20,Sicilian Defense,1,6,3,Draw
12781,10 + 0,Rapid,2,397,C42,Petroff Defense,2,1,3,White
12782,3 + 0,Blitz,1,-214,D00,Queen Pawn Game,3,4,3,Black
12784,10 + 15,Rapid,2,-239,D00,Queen Pawn Game,3,4,4,White
12793,5 + 5,Blitz,1,143,D00,Queen Pawn Game,3,7,5,Black
12795,10 + 0,Rapid,2,19,D00,Queen Pawn Game,3,6,2,Black
12825,10 + 15,Rapid,2,18,D00,Queen Pawn Game,3,3,2,Draw
12829,5 + 0,Blitz,1,58,B20,Sicilian Defense,1,5,6,White
12834,15 + 0,Rapid,2,7,D00,Queen Pawn Game,3,4,2,Black
12835,3 + 0,Blitz,1,-32,C42,Petroff Defense,2,3,8,White
12850,10 + 0,Rapid,2,-98,C50,Italian Game,4,5,4,White
12855,5 + 5,Blitz,1,-44,C50,Italian Game,4,8,7,Black
12917,3 + 0,Blitz,1,126,C42,Petroff Defense,2,3,5,White
12922,30 + 0,Classic,3,-74,C42,Petroff Defense,2,1,0,Black
12923,15 + 0,Rapid,2,-468,C42,Petroff Defense,2,3,1,Black
12939,10 + 0,Rapid,2,-75,D00,Queen Pawn Game,3,0,4,White
12940,15 + 0,Rapid,2,18,C50,Italian Game,4,1,4,White
12969,5 + 5,Blitz,1,-215,B20,Sicilian Defense,1,8,4,Black
12988,15 + 0,Rapid,2,-31,D00,Queen Pawn Game,3,0,2,White
12997,5 + 5,Blitz,1,-285,C42,Petroff Defense,2,6,2,Black
12998,10 + 15,Rapid,2,-206,C42,Petroff Defense,2,3,0,Black
13007,3 + 2,Blitz,1,124,C50,Italian Game,4,8,6,Black
13008,10 + 0,Rapid,2,-113,C50,Italian Game,4,2,0,Black
13016,3 + 2,Blitz,1,-6,D00,Queen Pawn Game,3,6,7,White
13022,10 + 0,Rapid,2,550,D00,Queen Pawn Game,3,2,3,White
13024,3 + 0,Blitz,1,-27,D00,Queen Pawn Game,3,3,6,White
13038,10 + 15,Rapid,2,68,B20,Sicilian Defense,1,2,1,Black
13049,10 + 0,Rapid,2,-156,D00,Queen Pawn Game,3,6,4,Black
13054,10 + 15,Rapid,2,20,C50,Italian Game,4,3,3,Black
13063,60 + 0,Classic,3,76,D00,Queen Pawn Game,3,1,3,White
13064,5 + 0,Blitz,1,6,D00,Queen Pawn Game,3,5,4,White
13079,3 + 2,Blitz,1,-202,C42,Petroff Defense,2,8,5,Black
13093,5 + 5,Blitz,1,11,D00,Queen Pawn Game,3,6,8,Black
13109,5 + 0,Blitz,1,26,C50,Italian Game,4,5,4,Draw
13125,15 + 0,Rapid,2,208,D00,Queen Pawn Game,3,1,4,White
13134,5 + 0,Blitz,1,59,D00,Queen Pawn Game,3,5,5,White
13135,10 + 0,Rapid,2,64,D00,Queen Pawn Game,3,2,3,White
13144,10 + 15,Rapid,2,53,B20,Sicilian Defense,1,2,2,White
13148,5 + 5,Blitz,1,19,D00,Queen Pawn Game,3,13,15,Black
13174,10 + 0,Rapid,2,-381,D00,Queen Pawn Game,3,3,2,Black
13178,3 + 2,Blitz,1,-15,D00,Queen Pawn Game,3,8,7,Black
13182,15 + 0,Rapid,2,-48,C50,Italian Game,4,1,2,Black
13187,5 + 0,Blitz,1,-184,B20,Sicilian Defense,1,8,9,White
13190,15 + 0,Rapid,2,0,C42,Petroff Defense,2,1,3,White
13210,10 + 15,Rapid,2,130,C50,Italian Game,4,2,4,White
13230,10 + 15,Rapid,2,36,B20,Sicilian Defense,1,3,2,White
13232,5 + 0,Blitz,1,1,C42,Petroff Defense,2,6,5,Black
13238,30 + 25,Classic,3,0,B20,Sicilian Defense,1,0,2,White
13246,5 + 0,Blitz,1,-99,C50,Italian Game,4,5,3,Black
13247,10 + 0,Rapid,2,-12,C50,Italian Game,4,0,5,White
13251,3 + 0,Blitz,1,-200,C50,Italian Game,4,5,8,Draw
13256,3 + 0,Blitz,1,3,B20,Sicilian Defense,1,5,9,White
13263,15 + 0,Rapid,2,-87,C42,Petroff Defense,2,2,2,Black
13267,60 + 0,Classic,3,-336,C42,Petroff Defense,2,3,2,Black
13268,10 + 0,Rapid,2,12,D00,Queen Pawn Game,3,2,0,Black
13286,10 + 0,Rapid,2,-122,D00,Queen Pawn Game,3,1,3,White
13293,3 + 0,Blitz,1,-47,C50,Italian Game,4,7,7,White
13321,5 + 0,Blitz,1,-6,C50,Italian Game,4,10,10,White
13327,60 + 0,Classic,3,-76,B20,Sicilian Defense,1,2,0,Black
13331,10 + 15,Rapid,2,375,D00,Queen Pawn Game,3,2,3,Black
13333,3 + 0,Blitz,1,135,C50,Italian Game,4,3,4,White
13335,10 + 0,Rapid,2,-271,D00,Queen Pawn Game,3,6,4,Black
13341,10 + 0,Rapid,2,-273,C42,Petroff Defense,2,4,3,Black
13345,10 + 0,Rapid,2,1,B20,Sicilian Defense,1,3,5,Black
13348,10 + 0,Rapid,2,-15,B20,Sicilian Defense,1,2,3,White
13349,5 + 0,Blitz,1,-100,B20,Sicilian Defense,1,8,6,Black
13352,15 + 0,Rapid,2,-4,B20,Sicilian Defense,1,3,1,Black
13354,10 + 15,Rapid,2,-9,B20,Sicilian Defense,1,3,2,Black
13357,10 + 15,Rapid,2,-18,C50,Italian Game,4,6,3,Black
13397,15 + 0,Rapid,2,141,D00,Queen Pawn Game,3,2,3,White
13402,3 + 0,Blitz,1,34,C50,Italian Game,4,4,6,White
13404,5 + 5,Blitz,1,95,C50,Italian Game,4,8,8,Black
13405,10 + 15,Rapid,2,-3,C42,Petroff Defense,2,3,3,Black
13409,3 + 2,Blitz,1,-152,C50,Italian Game,4,5,3,Black
13428,3 + 2,Blitz,1,-47,C42,Petroff Defense,2,3,5,White
13430,3 + 2,Blitz,1,29,B20,Sicilian Defense,1,6,6,White
13444,10 + 0,Rapid,2,-369,D00,Queen Pawn Game,3,3,0,Black
13446,10 + 0,Rapid,2,-46,D00,Queen Pawn Game,3,2,3,White
13467,3 + 0,Blitz,1,-84,B20,Sicilian Defense,1,5,6,White
13469,10 + 0,Rapid,2,64,C50,Italian Game,4,0,3,White
13484,30 + 25,Classic,3,149,B20,Sicilian Defense,1,1,3,White
13487,10 + 0,Rapid,2,-104,D00,Queen Pawn Game,3,1,2,Black
13489,60 + 0,Classic,3,-155,D00,Queen Pawn Game,3,1,3,White
13493,10 + 15,Rapid,2,-112,B20,Sicilian Defense,1,2,3,Black
13495,15 + 0,Rapid,2,53,D00,Queen Pawn Game,3,5,6,White
13511,60 + 10,Classic,3,307,C42,Petroff Defense,2,0,1,White
13512,10 + 0,Rapid,2,-30,C42,Petroff Defense,2,0,5,White
13520,10 + 15,Rapid,2,287,B20,Sicilian Defense,1,2,3,Black
13546,10 + 15,Rapid,2,0,C50,Italian Game,4,2,6,White
13557,3 + 2,Blitz,1,25,D00,Queen Pawn Game,3,5,5,Black
13568,5 + 0,Blitz,1,62,B20,Sicilian Defense,1,5,5,Black
13572,3 + 0,Blitz,1,70,D00,Queen Pawn Game,3,4,6,White
13573,30 + 25,Classic,3,4,D00,Queen Pawn Game,3,1,0,Black
13577,10 + 0,Rapid,2,-7,D00,Queen Pawn Game,3,1,2,White
13578,3 + 2,Blitz,1,-48,D00,Queen Pawn Game,3,7,11,White
13579,5 + 0,Blitz,1,131,D00,Queen Pawn Game,3,4,5,White
13580,5 + 0,Blitz,1,-36,D00,Queen Pawn Game,3,3,6,White
13584,30 + 0,Classic,3,539,C50,Italian Game,4,2,0,Black
13593,10 + 15,Rapid,2,-41,C42,Petroff Defense,2,1,3,White
13595,15 + 0,Rapid,2,-11,C42,Petroff Defense,2,2,2,Black
13598,60 + 0,Classic,3,35,C50,Italian Game,4,0,0,Draw
13614,60 + 0,Classic,3,-50,D00,Queen Pawn Game,3,2,1,White
13618,30 + 0,Classic,3,-19,B20,Sicilian Defense,1,1,0,Black
13625,30 + 25,Classic,3,151,D00,Queen Pawn Game,3,1,3,White
13628,3 + 2,Blitz,1,115,D00,Queen Pawn Game,3,5,5,Black
13638,10 + 0,Rapid,2,35,C50,Italian Game,4,2,4,White
